Id;Info;Author;Text;NO1;NO2;NO3;Emotion
5798;26;moherek_pospolity;Maciora - słynny poszukiwacz prawdy. Już prawie rok szuka prawdy o zamachu, którego nie było i nic nie może znaleźć. Ale nie przeszkadza to pisdzielcom oklaskiwac tego oszołoma, o którym nawet jego koledzy mówili, że jest niezrównoważony psychicznie, już w latach 70. Zgadnijcie pisdzielce, kto tak wtedy wyrażał się o tym sk... maciorewiczu?,-);moherek_pospolity;;;-1
5799;26;ebreandhil;Ciesze sie bardzo, ze nawet lemingi ktorych zwykle sporo na forum GW zaczynaja sie budzic z letargu i widziec ze to jednak PIS jest cacy, PO be a komuchy i lewaki to zdrajcy i ostatnie mendy;ebreandhil;;;-1
5800;26;moherek_pospolity;No cóż, od czasu do czasu i tej Maciorze się upiecze. Pewnie sąd zlitował się nad chorym psychicznie.;moherek_pospolity;;;-1
5801;26;kazimirz;Mlodzi doskonale wyksztalceni z duzych miast!!!Czytajcie i postarajcie sie zrozumiec :(Autor: sunim)"Macierewicz to bardzo inteligentny i wykształcony facet, jednak z ikon opozycji antykomunistycznej. O tym plujące tu gnoje z pewnością nie wiedzą. Bo niby skąd? Macierewicz nie stara się nikomu przypodobać, zwłaszcza przesiąkniętym byłą ubecjom mediom... lecz dąży do prawdy, do tego, w co wierzy. Można się z nim zgadzać, lecz trzeba być niedouczonym debilem, by obrażać tego odważnego człowieka.Różne mendy go opluwają od dawna. Pamiętam rok 1992, gdy ścierwa napadały go za rzekome oczernianie Bogu ducha winnych. Po latach wiadomo, że to Macierwicz miał racje. Ścierwa i ich media do dzisiaj nie powiedziały przepraszam. A taki Boni rządzi rządem."Brawo!!Niech wam swieci Slonce Peru, a woda splywa do Baltyku!Chwala Generalom!;kazimirz;;;0
5802;26;ebreandhil;Hurra! Przynajmniej jakas iskierka nadziei na sprawidzliwosc w tym kraju. Na pohybel komuchom, lewakom i libertynom!;ebreandhil;;;-1
5803;26;carol4210;Tak, on jest razem z prezesem czyściutki jak łza, oni nigdy nic nie brali, z niczego nie korzystali. Popierający ich to są cięzkie FRAJERZY.;carol4210;;;0
5804;26;sunim;ubecją oczywiście...;sunim;;;0
5805;26;sunim;Macierewicz to bardzo inteligentny i wykształcony facet, jednak z ikon opozycji antykomunistycznej. O tym plujące tu gnoje z pewnością nie wiedzą. Bo niby skąd? Macierewicz nie stara się nikomu przypodobać, zwłaszcza przesiąkniętym byłą ubecjom mediom... lecz dąży do prawdy, do tego, w co wierzy. Można się z nim zgadzać, lecz trzeba być niedouczonym debilem, by obrażać tego odważnego człowieka.Różne mendy go opluwają od dawna. Pamiętam rok 1992, gdy ścierwa napadały go za rzekome oczernianie Bogu ducha winnych. Po latach wiadomo, że to Macierwicz miał racje. Ścierwa i ich media do dzisiaj nie powiedziały przepraszam. A taki Boni rządzi rządem.;sunim;;;-1
5806;26;pis_its_sick;krzysiek2011, znaczy się co. Trzeci ( półgłówek ) brat bliźniak, jak z audycji RMF?;pis_its_sick;;;-1
5807;26;bunia3;Dokąd jeszcze będziemy swiadkami ciagania po sądach uczciwych ludzi, oddanych bez reszty ojczyźnie przez osoby z dawnego układu, lub sprawujacych aktualnie władzę?;bunia3;;;0
5808;26;malgoska_k;Brawo Minister Antoni MacierewiczMimo ogromnej sily przeciwnikow, ktorzy z braku argumentow siegaja do zenujacych atakow osobistych, ten wybitny patriota caly czas walczy o prawde - i ma racje - jak pokazuje chocby ten proces;malgoska_k;;;1
5809;26;candid13;Wszystko co robi Jarkacz i co robili bracia Kaczyńscy, zawsze obracało się przeciwko Polsce. Deklarowane intencje były zawsze dobre, a wychodziło zawsze na opak. Przykładowo bracia Kaczyńscy pomogli Putinowi w zamknięciu Gruzji drogi do NATO. Mieli bowiem udział w roznieceniu konfliktu Gruzji z Rosją, który to konflikt powoduje że NATO Gruzji (zgodnie ze swymi przepisami) nie przyjmie. Gdyby zaś polski prezydent rzeczywiście uznał, że Gruzja w NATO jest Polsce potrzebna, to powinien starać się nie dopuścić do konfliktu zbrojnego Gruzji z Rosją. Przydałby się do tego sprawny wywiad wojskowy, ale takiego nie mamy, gdyż bracia Kaczyńscy go zlikwidowali...Mam takie podejrzenie, że gdyby bractwo Kaczyńskie rządziło w Polsce w latach 90tych, nie przyjęto by nas ani do NATO, ani do UE. Kaczyńscy (przy akompaniamencie Rydzyka pulkownika KGB) uznaliby, że “nie lzia”;candid13;;;-1
5810;26;toberson;GW kiedy zaczniecie pisac prawde jaka jest skorumpowana i nieudaczna Partia-Oszustow!!Rzady POskomuny zrobili z Polski Ciemnogrod!!;toberson;;;-2
5811;26;artursmok79;Macierewicz to ma piekne wylupiaste oczy . Jestem ciekaw gdzie wyladowaly te dopalacze z tych pozamykanych butikow .;artursmok79;;;0
5812;26;i33il33;Czyli jednak pobieranie pieniędzy przez Bondaryka było "kryminalną sytuacją".A co jest z informacją,że Kaczyński wygrał proces z Michnikiem? Jakoś moje oczęta nie zauważyły tego newsa w tej gazecie.;i33il33;;;-1
5813;26;co.ty.powiesz;Nawet szef pewnej gazety, którego ulubionym zajęciem jest ciąganie po sądach wszystkich, którzy nieopatrznie negatywnie (czyli zgodnie z prawdą) wypowiedzą się o nim lub jego gazecie, otóż nawet ten redaktor nie ma tylu wygranych procesów, co oszołom Macierewicz. A może jednak ten oszołom ma po prostu rację?;co.ty.powiesz;;;-1
5814;26;krzysiek2011;pis_its_sick TO Jest malgoska_k z Jądrami !!!!!!!!;krzysiek2011;;;-2
5815;26;pis_its_sick;malgoska_k , głupi z Ciebie chłop...( przestań się przebierać w damskie fatałaszki, i zacznij ...bo ja wiem, zbierać kapsle od taniego piwa na ten przykład );pis_its_sick;;;-1
5816;26;malgoska_k;alez milo POczytac ujadanie czerownych i rozowych oPOnentow wielkiego dzialacza niepodleglosciowego Antoniego Macierewicza - tyle procesow i 99% z nich idole pryszczuni przegralo z kretesem - wiec pozostalo wylewanie swoich zali na forach internetowych hihihihihi;malgoska_k;;;1
5817;26;krzysiek2011;@prawdziwy mocher SPIEPRZAJ DZIADU!!!!!!!!;krzysiek2011;;;-3
5818;26;krzyneq;SZMACIAREWICZ TY KUPO ŁAJNA;krzyneq;;;-3
5819;26;nutka57;No to co? PiS zadowolony? A fancluby pisowskie? Ten sąd jest wreszcie dobry? Bo ten, który uniewinnił profesora Podgórskiego, zaszczutego przez PiS był "be"...;nutka57;;;0
5820;26;bartek20011;Jest Głównym Inkwizytorem Kraju rozwikła każda aferę i wykryje spisek wśród Świętych i Błogosławionych tego świata - przykre to jest jemu wolno nie nam;bartek20011;;;-1
5821;26;electrician6;STUPID = Smart Talented Unique Person In Demandkolorbury czaisz ?;electrician6;;;0
5822;26;venus99;rozumiem,że każdy może mieć swoją opinię na temat p.Macierewicza.ja podejrzewam,że jest to schizofrenik paranoidalny.;venus99;;;0
5823;26;malus.irena;A ile ten psychol nas kosztuje, ile spraw przegranych przez WSI a płaci MSW czyli my wszyscy. Gdyby to było tak, że maciora odpowiada majątkiem własnym to by czasami pomyślała. Ale ja mimo, że jestem osobą niewierzącą to mam nadzieję, że go kiedyś szag trafi i nikt nie zapłacze nad jego grobem i pozostanie na zawsze w niesławnej pamięci.;malus.irena;;;-1
5824;26;kolorbury;Ale was tu nasralo PISowskie Scierwojady.;kolorbury;;;-2
5825;26;skapare;Psychol nigdy nie musi przepraszać, wystarczy, że grzecznie bierze leki.Jeśli "podskakuje" za dużo to się go po prostu UBEZWŁASNOWALNIA!!!!!!!;skapare;;;-1
5826;26;malgoska_k;na kolana pryszcze i przepraszac grzecznie wielkiego patriote i meza stanu Antoniego Macierewicza;malgoska_k;;;0
5827;26;gabrielr;Brawo Panie Maciarewicz. Za prawdę się nie przeprasza.Mimo zmasowanej nagonki POpaprańców to już chyba pięćdziesiąty proces wygrany przez Maciarewicza.;gabrielr;;;0
5828;26;jkal;jakie informacje niejawne wykorzystał do niecnych celów Bondaryk, ale widac nikmu to nie przeszkadza. Ale gdyby to był np. Kamiński? Nowe wyższe standardy żondu PO/PSL.;jkal;;;0
5829;26;lejagal;Zal mi piszacych tutaj- podniecaja sie, obrazaja, wymyslaja- moze to i metoda na stres.Ale jestescie zwyklymi zjadaczami chleba i nic z tego co was frustruje lub cieszy nic z tego nie wynika. Polityka kieruje sie swoimi prawami- raz jedni oskarzaja raz drudzy, raz jedni wygrywaja (?) raz drydzy(?) no i co ---i NIC !!! Sady zamiast zajac sie sprawami powaznymi, ludzi, przedsiebiorcow, wydawac szybkie i sprawiedliwewyroki to zajmuja sie jakimis politycznymi g.....mi, ktore nic nie wnosza do naszego zycia-LEPSZEGO JAKOSCIOWO Oni powinni miec swoje sady bo dzisiaj blokuja tylko terminy spraw waznych dla ludzi a te ciagna sie latami. Jakos dziwnym trafem wiekszosc tego typu spraw trwa znacznie krocej niz sprawy ludzi, ktorzy czekaja latami na wazne decyzje sadowe /chocby bledy urzednicze itp./PIS I PO powinni powolac wlasne sady ale oplacane z wlasnych skladek nie dotacji panstwowych. Ja wiem ,ze pisze niedorzecznie bo czego moge wymagac od kraju w ktorym jestem obywatelem?- JUz jeden powiedzial- nie czekaj co mozesz otrzymac od swojego kraju, tylko co mozesz dac swojemu krajowi!!!! tylko to byl inny kraj i inny obywatel / urzednik panstwowy/.... Czy to juz Was nie rozbawilo ? Jesli nie to szkoda bo usmiech i poczucie humoru to poczatek sukcesu w dbaniu o swoje zdrowie.........;lejagal;;;-1
5830;26;motto_wyborczej_klamac_klamac;Macierewicz to świetny polityk i zwyczajnie porządny człowiek. Dlatego tyle kanalii i zwyczajnych świń ciągle go obraża.;motto_wyborczej_klamac_klamac;;;0
5831;26;ub1k;bacowa... idz zrób sobie baranka...;ub1k;;;0
5832;26;bacowa;to niebywałeczyli napisanie, że Macierewicz jest dwunogą świnią i warchołema niejaki Yarosław K. nawiedzonym kurduplem o dyktatorskich zapędachjest jak uzasadnił sąd (cytuję): ,, prawem do własnej oceny osoby publicznej''de facto jest to przyzwlenie na mówienie i pisanie swobodnie swojej ocenyjak to ma się do klebowania ust przez PiSbolszewikówjakimiś lotnymi komisjami do monitorowaniu mediów, w tym internetuP.S. - czasem ten sędzia to nie pozostałość po Ziobrze?;bacowa;;;-1
5833;26;prawdziwy-moher;krzysiek2011POstkomuna wierzy w sad ostateczny.Tusk chcial rzadzic tak dlugo jak Kadafi.Nawetdluzej niz Jaruzelski czy Caucescu.Pomylka.Ale przeciez zaden z tych komunistow, socjalistow, nie powinien miec nadzieji.Trzeba skonczyc jak Caucescu.;prawdziwy-moher;;;-1
