Id;Text;Emotion
171170386;"Rodacy! WSZYSTKO ROZSTRZYGNIE SIĘ W PAŹDZIERNIKU! Nie dajmy szansy platformerskiej gerontofilii!!";-1
171170453;"Pan Duda to chyba czytać nie umie, bo wszystko mówi z pamięci\nnie to co pan Komorowski\nduka,stęka, ale jakoś przeczyta co mu\nnapiszą";1
171170485;"Wybór dudy to jak wybór Papieża. Bije w dekiel nie tylko PISowskiej psiarni, bije wszystkim którzy w tym wyborze maczali palce.";-1
171170536;"Czyli dalej będziemy pieskiem wykorzystywanym przez USA do szczekania na Rosję?";-1
171170631;"tiaaa... zafundujmy sobie jeszcze tysiąc czołgów i tysiac F-16, obnizmy wiek emerytalny, wszystkim podwyżkę o minimum 3 tysiące, itd.\nNiech Obama przyśle nam ze 300 mld baksów i damy radę....";-1
171170679;"Alternatywą był jednakże analfabeta. Tak tylko przypominam";-1
171170715;"Zanosi sie na polityke smiesznego i zalosnego podskakiwania kazdemu, gdzie popadnie.";-1
171170746;"bedzie jezdzil aby dzielis polakow na mocherow i patriotow popiera mocherow z klerem -przez to bedzie wzniecal nienawisc i klamstwa -obiecanki nie do zrealizowania -wstyd";-1
171170767;"KLERKACZADUUDUU taka będzie ofensywa";-1
171170780;"I podnóżkiem Watykanu?";-1
171170810;"ta prezydentura jeszcze tobie bokiem wyjdzie. Poprzednia byla fatalna , ale ta bedzie wyjatkowo arogancka";-1
171170834;"Wybraliśmy leworęcznego prezydenta? Oby jego rządy były prawe a nie lewe, jak PiS w SKOKACH.";-1
171170874;"Duda uczyni cuda. Cudownie rozmnoży chleb i uleczy wszystkich chorych . Zobaczycie .";-1
171170883;"nawet wiecej ! sami o to poprosimy !\n\ni zakupimy kolejne rakiety za cene 3 x wieksza , niz inni te same kupuja !\n\nw zasadzie, to mogliby dac kase i nawet nie brac tych rakiet";-1
171170889;"Zobaczymy co Rydzyk powie bo to on rządzi w PISIE";-1
171170923;"Duda będzie czynić cuda.";1
